AccVers;Title;Identity;Length;Mismatches;Gap Opens;Query Start;Query End;Subject Start;Subject End;E-value;Bitscore;Blast Query
NP_001003818.1;tripartite motif-containing protein 6 isoform 1 [Homo sapiens];100.000;516;0;0;1;516;1;516;0.0;"1075
";TRIM6
XP_008970675.1;tripartite motif-containing protein 6 isoform X2 [Pan paniscus];99.031;516;5;0;1;516;1;516;0.0;"1065
";TRIM6
XP_004050604.1;tripartite motif-containing protein 6 isoform X3 [Gorilla gorilla gorilla];98.837;516;6;0;1;516;1;516;0.0;"1064
";TRIM6
XP_009458039.3;tripartite motif-containing protein 6 isoform X2 [Pan troglodytes];98.837;516;6;0;1;516;1;516;0.0;"1062
";TRIM6
XP_009244984.1;tripartite motif-containing protein 6 isoform X2 [Pongo abelii];97.868;516;11;0;1;516;1;516;0.0;"1052
";TRIM6
XP_016775227.2;tripartite motif-containing protein 6 isoform X1 [Pan troglodytes];98.249;514;9;0;3;516;46;559;0.0;"1052
";TRIM6
XP_032022682.1;tripartite motif-containing protein 6 isoform X2 [Hylobates moloch];97.093;516;15;0;1;516;15;530;0.0;"1041
";TRIM6
XP_024110399.1;tripartite motif-containing protein 6 isoform X1 [Pongo abelii];95.094;530;12;1;1;516;1;530;0.0;"1040
";TRIM6
XP_011900552.1;PREDICTED: tripartite motif-containing protein 6 isoform X2 [Cercocebus atys];97.065;511;15;0;6;516;49;559;0.0;"1031
";TRIM6
XP_032022681.1;tripartite motif-containing protein 6 isoform X1 [Hylobates moloch];97.065;511;15;0;6;516;12;522;0.0;"1031
";TRIM6
XP_003254886.1;tripartite motif-containing protein 6 isoform X2 [Nomascus leucogenys];96.705;516;17;0;1;516;15;530;0.0;"1030
";TRIM6
XP_021781020.1;tripartite motif-containing protein 6 isoform X2 [Papio anubis];96.869;511;16;0;6;516;8;518;0.0;"1028
";TRIM6
XP_009185024.1;tripartite motif-containing protein 6 isoform X1 [Papio anubis];96.869;511;16;0;6;516;49;559;0.0;"1028
";TRIM6
XP_025211410.1;tripartite motif-containing protein 6 isoform X1 [Theropithecus gelada];96.673;511;17;0;6;516;40;550;0.0;"1027
";TRIM6
XP_037861465.1;tripartite motif-containing protein 6 isoform X2 [Chlorocebus sabaeus];96.477;511;18;0;6;516;8;518;0.0;"1025
";TRIM6
XP_011900551.1;PREDICTED: tripartite motif-containing protein 6 isoform X1 [Cercocebus atys];94.297;526;15;1;6;516;49;574;0.0;"1022
";TRIM6
XP_011717107.1;tripartite motif-containing protein 6 isoform X2 [Macaca nemestrina];96.282;511;19;0;6;516;49;559;0.0;"1022
";TRIM6
XP_011717106.1;tripartite motif-containing protein 6 isoform X1 [Macaca nemestrina];96.282;511;19;0;6;516;92;602;0.0;"1021
";TRIM6
XP_003254887.1;tripartite motif-containing protein 6 isoform X1 [Nomascus leucogenys];96.673;511;17;0;6;516;12;522;0.0;"1020
";TRIM6
NP_477514.1;tripartite motif-containing protein 6 isoform 2 [Homo sapiens];100.000;488;0;0;29;516;1;488;0.0;"1019
";TRIM6
XP_028688314.1;tripartite motif-containing protein 6 isoform X2 [Macaca mulatta];93.726;526;18;1;6;516;40;565;0.0;"1013
";TRIM6
XP_008970676.1;tripartite motif-containing protein 6 isoform X1 [Pan paniscus];98.975;488;5;0;29;516;1;488;0.0;"1008
";TRIM6
NP_001192105.2;tripartite motif-containing protein 6 [Pan troglodytes];98.770;488;6;0;29;516;1;488;0.0;"1006
";TRIM6
NP_001127162.2;tripartite motif-containing protein 6 [Pongo abelii];97.951;488;10;0;29;516;1;488;0.0;"997
";TRIM6
XP_011827366.1;PREDICTED: tripartite motif-containing protein 6 isoform X1 [Mandrillus leucophaeus];97.541;488;12;0;29;516;1;488;0.0;"994
";TRIM6
XP_033063864.1;LOW QUALITY PROTEIN: tripartite motif-containing protein 6 [Trachypithecus francoisi];97.131;488;14;0;29;516;1;488;0.0;"990
";TRIM6
XP_010362845.1;tripartite motif-containing protein 6 isoform X1 [Rhinopithecus roxellana];97.131;488;14;0;29;516;1;488;0.0;"990
";TRIM6
XP_037861464.1;tripartite motif-containing protein 6 isoform X1 [Chlorocebus sabaeus];97.131;488;14;0;29;516;1;488;0.0;"989
";TRIM6
XP_025211411.1;tripartite motif-containing protein 6 isoform X2 [Theropithecus gelada];96.926;488;15;0;29;516;1;488;0.0;"988
";TRIM6
NP_001162524.1;tripartite motif-containing protein 6 [Papio anubis];96.926;488;15;0;29;516;1;488;0.0;"986
";TRIM6
XP_011818979.1;PREDICTED: tripartite motif-containing protein 6 isoform X1 [Colobus angolensis palliatus];96.721;488;16;0;29;516;1;488;0.0;"986
";TRIM6
XP_024110401.1;tripartite motif-containing protein 6 isoform X3 [Pongo abelii];95.020;502;11;1;29;516;1;502;0.0;"984
";TRIM6
XP_023065387.2;tripartite motif-containing protein 6 [Piliocolobus tephrosceles];96.516;488;17;0;29;516;1;488;0.0;"983
";TRIM6
NP_001192112.1;tripartite motif-containing protein 6 [Macaca mulatta];96.721;488;16;0;29;516;1;488;0.0;"983
";TRIM6
XP_028688313.1;tripartite motif-containing protein 6 isoform X1 [Macaca mulatta];93.837;503;16;1;29;516;1;503;0.0;"973
";TRIM6
XP_005578964.2;tripartite motif-containing protein 6 isoform X1 [Macaca fascicularis];93.837;503;16;1;29;516;1;503;0.0;"973
";TRIM6
XP_032022683.1;tripartite motif-containing protein 6 isoform X3 [Hylobates moloch];92.172;511;14;1;6;516;12;496;0.0;"964
";TRIM6
XP_012360613.1;tripartite motif-containing protein 6 isoform X3 [Nomascus leucogenys];91.781;511;16;1;6;516;12;496;0.0;"955
";TRIM6
XP_011827367.1;PREDICTED: tripartite motif-containing protein 6 isoform X2 [Mandrillus leucophaeus];92.213;488;12;1;29;516;1;462;0.0;"926
";TRIM6
XP_012312229.1;tripartite motif-containing protein 6 [Aotus nancymaae];91.992;487;39;0;29;515;1;487;0.0;"921
";TRIM6
XP_035121485.1;tripartite motif-containing protein 6 isoform X1 [Callithrix jacchus];91.393;488;42;0;29;516;1;488;0.0;"919
";TRIM6
XP_011818981.1;PREDICTED: tripartite motif-containing protein 6 isoform X2 [Colobus angolensis palliatus];91.598;488;15;1;29;516;1;462;0.0;"919
";TRIM6
XP_025211412.1;tripartite motif-containing protein 6 isoform X3 [Theropithecus gelada];91.598;488;15;1;29;516;1;462;0.0;"919
";TRIM6
XP_032096424.1;tripartite motif-containing protein 6 isoform X1 [Sapajus apella];91.393;488;42;0;29;516;1;488;0.0;"918
";TRIM6
XP_017362762.1;tripartite motif-containing protein 6 isoform X1 [Cebus imitator];91.393;488;42;0;29;516;1;488;0.0;"917
";TRIM6
XP_010332529.2;tripartite motif-containing protein 6 isoform X1 [Saimiri boliviensis boliviensis];90.984;488;44;0;29;516;1;488;0.0;"912
";TRIM6
XP_032496120.1;tripartite motif-containing protein 6 [Phocoena sinus];84.540;511;78;1;6;516;44;553;0.0;"902
";TRIM6
XP_024612806.1;tripartite motif-containing protein 6 [Neophocaena asiaeorientalis asiaeorientalis];84.344;511;79;1;6;516;44;553;0.0;"899
";TRIM6
XP_008064720.1;tripartite motif-containing protein 6 [Carlito syrichta];88.730;488;55;0;29;516;1;488;0.0;"897
";TRIM6
XP_036782941.1;tripartite motif-containing protein 6 isoform X2 [Manis pentadactyla];82.157;510;90;1;7;516;6;514;0.0;"883
";TRIM6
XP_036782940.1;tripartite motif-containing protein 6 isoform X1 [Manis pentadactyla];82.157;510;90;1;7;516;37;545;0.0;"883
";TRIM6
XP_029418143.1;tripartite motif-containing protein 6 isoform X1 [Nannospalax galili];83.168;505;83;2;12;516;42;544;0.0;"880
";TRIM6
NP_001192121.1;tripartite motif-containing protein 6 [Equus caballus];83.910;491;78;1;26;516;1;490;0.0;"874
";TRIM6
XP_014695140.1;LOW QUALITY PROTEIN: tripartite motif-containing protein 6 [Equus asinus];83.910;491;78;1;26;516;1;490;0.0;"874
";TRIM6
XP_045750227.1;tripartite motif-containing protein 6 isoform X1 [Mirounga angustirostris];84.631;488;74;1;29;516;1;487;0.0;"872
";TRIM6
XP_007103051.1;tripartite motif-containing protein 6 isoform X2 [Physeter catodon];84.426;488;75;1;29;516;1;487;0.0;"871
";TRIM6
XP_029065317.1;tripartite motif-containing protein 6 [Monodon monoceros];84.836;488;73;1;29;516;1;487;0.0;"870
";TRIM6
XP_034851145.1;tripartite motif-containing protein 6 isoform X2 [Mirounga leonina];84.426;488;75;1;29;516;1;487;0.0;"870
";TRIM6
XP_023368649.1;tripartite motif-containing protein 6 isoform X1 [Otolemur garnettii];85.041;488;72;1;29;516;1;487;0.0;"869
";TRIM6
XP_007459860.1;PREDICTED: tripartite motif-containing protein 6-like isoform X1 [Lipotes vexillifer];84.836;488;73;1;29;516;1;487;0.0;"869
";TRIM6
XP_004279309.1;tripartite motif-containing protein 6 isoform X1 [Orcinus orca];84.426;488;75;1;29;516;1;487;0.0;"868
";TRIM6
XP_005689860.1;PREDICTED: tripartite motif-containing protein 6 [Capra hircus];84.426;488;75;1;29;516;1;487;0.0;"868
";TRIM6
XP_004407624.1;PREDICTED: tripartite motif-containing protein 6 [Odobenus rosmarus divergens];84.221;488;76;1;29;516;1;487;0.0;"867
";TRIM6
XP_004016282.1;tripartite motif-containing protein 6 [Ovis aries];84.426;488;75;1;29;516;1;487;0.0;"867
";TRIM6
XP_006732780.1;tripartite motif-containing protein 6 isoform X1 [Leptonychotes weddellii];84.221;488;76;1;29;516;1;487;0.0;"867
";TRIM6
XP_036717523.1;tripartite motif-containing protein 6 isoform X2 [Balaenoptera musculus];84.221;488;76;1;29;516;1;487;0.0;"867
";TRIM6
XP_020750423.1;tripartite motif-containing protein 6 isoform X1 [Odocoileus virginianus texanus];83.299;491;81;1;26;516;1;490;0.0;"866
";TRIM6
XP_035931886.1;tripartite motif-containing protein 6 isoform X1 [Halichoerus grypus];84.221;488;76;1;29;516;1;487;0.0;"866
";TRIM6
XP_021540967.1;tripartite motif-containing protein 6 isoform X2 [Neomonachus schauinslandi];84.221;488;76;1;29;516;1;487;0.0;"866
";TRIM6
XP_030687059.1;tripartite motif-containing protein 6 isoform X1 [Globicephala melas];84.631;488;74;1;29;516;1;487;0.0;"866
";TRIM6
XP_025750150.1;tripartite motif-containing protein 6 isoform X1 [Callorhinus ursinus];84.221;488;76;1;29;516;1;487;0.0;"866
";TRIM6
XP_007172927.1;tripartite motif-containing protein 6 isoform X2 [Balaenoptera acutorostrata scammoni];84.016;488;77;1;29;516;1;487;0.0;"865
";TRIM6
XP_022418955.1;tripartite motif-containing protein 6-like [Delphinapterus leucas];84.426;488;75;1;29;516;1;487;0.0;"865
";TRIM6
XP_027971762.1;tripartite motif-containing protein 6 isoform X1 [Eumetopias jubatus];84.221;488;76;1;29;516;1;487;0.0;"865
";TRIM6
XP_045750228.1;tripartite motif-containing protein 6 isoform X2 [Mirounga angustirostris];84.426;488;74;2;29;516;1;486;0.0;"865
";TRIM6
