AccVers;Species;ProtAnnotation;GeneAnnotation;GeneId;Location;ProtDef;GeneDef;TreeStatus;TreeAnnotation;RNAId;aBSRELStatus
XP_026908444.1;Acinonyx jubatus;TRIM22;TRIM22;106977777;NW_020834837.1;LOW QUALITY PROTEIN: E3 ubiquitin-protein ligase TRIM22 [Acinonyx jubatus];LOC106977777 E3 ubiquitin-protein ligase TRIM22;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_014930815.2;Acinonyx jubatus;TRIM34;TRIM34;106977774;NW_020834837.1;tripartite motif-containing protein 34-like isoform X2 [Acinonyx jubatus];LOC106977774 tripartite motif-containing protein 34-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_014930816.1;Acinonyx jubatus;TRIM5;TRIM34;106977774;NW_020834837.1;tripartite motif-containing protein 5-like isoform X4 [Acinonyx jubatus];LOC106977774 tripartite motif-containing protein 34-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_026908442.1;Acinonyx jubatus;TRIM5;TRIM34;106977774;NW_020834837.1;tripartite motif-containing protein 5-like isoform X3 [Acinonyx jubatus];LOC106977774 tripartite motif-containing protein 34-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_026908443.1;Acinonyx jubatus;TRIM6;TRIM6;106977776;NW_020834837.1;tripartite motif-containing protein 6 [Acinonyx jubatus];TRIM6 tripartite motif containing 6;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_026908440.1;Acinonyx jubatus;UNCHAR;TRIM34;106977774;NW_020834837.1;uncharacterized protein LOC106977774 isoform X1 [Acinonyx jubatus];LOC106977774 tripartite motif-containing protein 34-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_034523506.1;Ailuropoda melanoleuca;TRIM22;TRIM22;100469189;NC_048225.1;LOW QUALITY PROTEIN: E3 ubiquitin-protein ligase TRIM22 [Ailuropoda melanoleuca];LOC100469189 E3 ubiquitin-protein ligase TRIM22;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_034506004.1;Ailuropoda melanoleuca;TRIM34;TRIM34;100475749;NW_023179692.1;tripartite motif-containing protein 34 [Ailuropoda melanoleuca];LOC100475749 tripartite motif-containing protein 34;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_034522355.1;Ailuropoda melanoleuca;TRIM6;TRIM6;100476251;NC_048225.1;tripartite motif-containing protein 6 isoform X3 [Ailuropoda melanoleuca];TRIM6 tripartite motif containing 6;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_034522356.1;Ailuropoda melanoleuca;TRIM6;TRIM6;100476251;NC_048225.1;tripartite motif-containing protein 6 isoform X4 [Ailuropoda melanoleuca];TRIM6 tripartite motif containing 6;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_011231727.1;Ailuropoda melanoleuca;TRIM6;TRIM6;100476251;NC_048225.1;tripartite motif-containing protein 6 isoform X1 [Ailuropoda melanoleuca];TRIM6 tripartite motif containing 6;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_034522354.1;Ailuropoda melanoleuca;TRIM6;TRIM6;100476251;NC_048225.1;tripartite motif-containing protein 6 isoform X2 [Ailuropoda melanoleuca];TRIM6 tripartite motif containing 6;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_012312217.1;Aotus nancymaae;TRIM22;TRIM22;105720334;NW_018503629.1;E3 ubiquitin-protein ligase TRIM22 isoform X1 [Aotus nancymaae];TRIM22 tripartite motif containing 22;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_012312220.1;Aotus nancymaae;TRIM22;TRIM22;105720334;NW_018503629.1;E3 ubiquitin-protein ligase TRIM22 isoform X3 [Aotus nancymaae];TRIM22 tripartite motif containing 22;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_012312227.1;Aotus nancymaae;TRIM34;TRIM34;105720337;NW_018503629.1;tripartite motif-containing protein 34 isoform X2 [Aotus nancymaae];LOC105720337 tripartite motif-containing protein 34;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_012312226.1;Aotus nancymaae;TRIM34;TRIM34;105720337;NW_018503629.1;tripartite motif-containing protein 34 isoform X1 [Aotus nancymaae];LOC105720337 tripartite motif-containing protein 34;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_012312222.1;Aotus nancymaae;TRIM5;TRIM5;105720336;NW_018503629.1;tripartite motif-containing protein 5-like isoform X1 [Aotus nancymaae];LOC105720336 tripartite motif-containing protein 5-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_012312229.1;Aotus nancymaae;TRIM6;TRIM6;105720338;NW_018503629.1;tripartite motif-containing protein 6 [Aotus nancymaae];TRIM6 tripartite motif containing 6;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_012299191.1;Aotus nancymaae;TRIM6;TRIM6;105711142;NW_018509543.1;tripartite motif-containing protein 6-like, partial [Aotus nancymaae];LOC105711142 tripartite motif-containing protein 6-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_037002203.1;Artibeus jamaicensis;TRIM22;TRIM22;119050144;NW_023551551.1;E3 ubiquitin-protein ligase TRIM22-like isoform X3 [Artibeus jamaicensis];LOC119050144 E3 ubiquitin-protein ligase TRIM22-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_037002204.1;Artibeus jamaicensis;TRIM22;TRIM22;119050145;NW_023551551.1;E3 ubiquitin-protein ligase TRIM22-like [Artibeus jamaicensis];LOC119050145 E3 ubiquitin-protein ligase TRIM22-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_037002202.1;Artibeus jamaicensis;TRIM22;TRIM22;119050144;NW_023551551.1;E3 ubiquitin-protein ligase TRIM22-like isoform X2 [Artibeus jamaicensis];LOC119050144 E3 ubiquitin-protein ligase TRIM22-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_037002197.1;Artibeus jamaicensis;TRIM22;TRIM22;119050144;NW_023551551.1;E3 ubiquitin-protein ligase TRIM22-like isoform X1 [Artibeus jamaicensis];LOC119050144 E3 ubiquitin-protein ligase TRIM22-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_036995001.1;Artibeus jamaicensis;TRIM22;TRIM22;119044649;NW_023541366.1;E3 ubiquitin-protein ligase TRIM22-like isoform X1 [Artibeus jamaicensis];LOC119044649 E3 ubiquitin-protein ligase TRIM22-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_036995002.1;Artibeus jamaicensis;TRIM22;TRIM22;119044649;NW_023541366.1;E3 ubiquitin-protein ligase TRIM22-like isoform X2 [Artibeus jamaicensis];LOC119044649 E3 ubiquitin-protein ligase TRIM22-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_037002196.1;Artibeus jamaicensis;TRIM34;TRIM34;119050143;NW_023551551.1;tripartite motif-containing protein 34-like [Artibeus jamaicensis];LOC119050143 tripartite motif-containing protein 34-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_037009765.1;Artibeus jamaicensis;TRIM5;TRIM5;119055626;NW_023559851.1;tripartite motif-containing protein 5-like [Artibeus jamaicensis];LOC119055626 tripartite motif-containing protein 5-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_037002205.1;Artibeus jamaicensis;TRIM5;TRIM5;119050146;NW_023551551.1;LOW QUALITY PROTEIN: tripartite motif-containing protein 5-like [Artibeus jamaicensis];LOC119050146 tripartite motif-containing protein 5-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_037002195.1;Artibeus jamaicensis;TRIM6;TRIM6;119050142;NW_023551551.1;tripartite motif-containing protein 6 [Artibeus jamaicensis];TRIM6 tripartite motif containing 6;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_034374159.1;Arvicanthis niloticus;TRIM30;TRIM30;117719872;NC_047658.1;tripartite motif-containing protein 30A-like isoform X1 [Arvicanthis niloticus];LOC117719872 tripartite motif-containing protein 30A-like;INCLUDED;TRIM5;XM_034518268.1;INCLUDED
XP_034380203.1;Arvicanthis niloticus;TRIM30;TRIM30;117724471;NC_047658.1;LOW QUALITY PROTEIN: tripartite motif-containing protein 30A-like [Arvicanthis niloticus];LOC117724471 tripartite motif-containing protein 30A-like;INCLUDED;TRIM5;XM_034524312.1;REMOVED|Premature stop codon
