id;species;TRIM;title;transcripts;location
94094;Mus musculus;34;Trim34a tripartite motif-containing 34A;['XR_004934226.1', 'XR_003946603.2', 'XM_006508369.4', 'XM_006508368.3', 'NM_001357679.1', 'NM_030684.3'];NC_000073.7
434218;Mus musculus;34;Trim34b tripartite motif-containing 34B;['XM_036153217.1', 'NM_001243916.1'];NC_000073.7
94088;Mus musculus;6;Trim6 tripartite motif-containing 6;['XM_006508364.3', 'XM_017312407.2', 'XM_006508366.4', 'XM_006508365.4', 'NM_001013616.2'];NC_000073.7
667823;Mus musculus;5;Trim5 tripartite motif-containing 5;['XM_017312234.3', 'XM_017312233.3', 'XM_036153361.1', 'NM_001310602.1'];NC_000073.7
245575;Mus musculus;5;Gm4992 tripartite motif-containing 5 pseudogene;[];NC_000086.8
105979888;Echinops telfairi;6;TRIM6 tripartite motif containing 6;['XM_013008432.1'];NW_022103939.1
101644545;Echinops telfairi;34;LOC101644545 tripartite motif-containing protein 34;['XM_013008433.2', 'XM_013008433.1'];NW_022103939.1
101662635;Echinops telfairi;5;LOC101662635 tripartite motif-containing protein 5;['XM_004717095.2', 'XM_045290551.1', 'XM_004717095.1'];NW_022103939.1
10346;Homo sapiens;22;TRIM22 tripartite motif containing 22;['NM_001199573.2', 'NM_006074.5'];NC_000011.10
53840;Homo sapiens;34;TRIM34 tripartite motif containing 34;['NM_021616.6', 'NM_130390.2', 'NM_001003827.1'];NC_000011.10
85363;Homo sapiens;5;TRIM5 tripartite motif containing 5;['NM_033093.4', 'NM_033092.4', 'NM_033034.3', 'XR_001748018.2', 'XM_017018463.2', 'XM_006718358.3', 'XM_011520427.2', 'XR_930921.2', 'XR_001748017.2', 'XR_001748016.2', 'XR_930920.3', 'XR_001748015.2', 'XM_017018462.2', 'XR_001748014.2', 'XM_017018461.2', 'XM_011520426.3', 'XM_017018460.2', 'XM_005253184.3', 'XM_005253183.3'];NC_000011.10
117854;Homo sapiens;6;TRIM6 tripartite motif containing 6;['NM_058166.5', 'NM_001198644.2', 'NM_001198645.2', 'NM_001003818.3'];NC_000011.10
122449903;Cervus canadensis;6;TRIM6 tripartite motif containing 6;['XM_043481996.1', 'XM_043481995.1', 'XM_043481994.1', 'XM_043481993.1'];NC_057396.1
122449901;Cervus canadensis;34;LOC122449901 tripartite motif-containing protein 34-like;['XM_043481992.1', 'XM_043481990.1', 'XM_043481989.1', 'XM_043481988.1', 'XM_043481987.1', 'XM_043481986.1', 'XM_043481985.1', 'XM_043481984.1', 'XM_043481983.1', 'XM_043481982.1'];NC_057396.1
122449879;Cervus canadensis;5;LOC122449879 tripartite motif-containing protein 5-like;['XM_043481936.1', 'XM_043481935.1'];NC_057396.1
122450353;Cervus canadensis;5;LOC122450353 tripartite motif-containing protein 5-like;['XM_043482636.1'];NC_057396.1
122434086;Cervus canadensis;6;LOC122434086 tripartite motif-containing protein 6-like;['XM_043457577.1'];NC_057386.1
122450226;Cervus canadensis;34;LOC122450226 tripartite motif-containing protein 34-like;['XM_043482450.1'];NC_057396.1
122449272;Cervus canadensis;5;LOC122449272 tripartite motif-containing protein 5-like;[];NC_057396.1
122449271;Cervus canadensis;5;LOC122449271 tripartite motif-containing protein 5-like;[];NC_057396.1
122449269;Cervus canadensis;5;LOC122449269 tripartite motif-containing protein 5-like;[];NC_057396.1
113191339;Urocitellus parryii;6;Trim6 tripartite motif containing 6;['XM_026401050.1'];NW_020540126.1
113178168;Urocitellus parryii;5;LOC113178168 tripartite motif-containing protein 5-like;['XM_026382607.1'];NW_020541574.1
113178581;Urocitellus parryii;34;LOC113178581 tripartite motif-containing protein 34-like;['XM_026382833.1'];NW_020546216.1
113200462;Urocitellus parryii;34;LOC113200462 tripartite motif-containing protein 34 pseudogene;[];NW_020540498.1
113190809;Urocitellus parryii;6;LOC113190809 tripartite motif-containing protein 6 pseudogene;[];NW_020540116.1
102975900;Physeter catodon;6;LOC102975900 tripartite motif-containing protein 6;['XM_007102989.2', 'XM_007102988.2'];NC_041229.1
101241893;Rattus norvegicus;34;Trim34 tripartite motif-containing 34;['XM_039103735.1', 'NM_001276491.1'];NC_051336.1
293294;Rattus norvegicus;6;Trim6 tripartite motif containing 6;['XM_039106717.1', 'NM_001170461.1'];NC_051336.1
308906;Rattus norvegicus;5;Trim5 tripartite motif-containing 5;['XR_005486311.1', 'XM_039078166.1', 'XM_006229912.4', 'NM_001014023.1'];NC_051336.1
102273271;Bos mutus;34;LOC102273271 tripartite motif-containing protein 34;['XM_005906879.2'];NW_005395372.1
102272794;Bos mutus;6;TRIM6 tripartite motif containing 6;['XM_005906878.2', 'XM_005906877.1'];NW_005395372.1
102273840;Bos mutus;5;LOC102273840 tripartite motif-containing protein 5;['XM_005906880.1'];NW_005395372.1
102283392;Bos mutus;5;LOC102283392 tripartite motif-containing protein 5-like;['XM_014478537.1'];NW_005393791.1
102281509;Bos mutus;5;LOC102281509 tripartite motif-containing protein 5-like;['XM_005910269.2'];NW_005396549.1
102281146;Bos mutus;5;LOC102281146 tripartite motif-containing protein 5-like;['XM_014478378.1'];NW_005393746.1
102280864;Bos mutus;5;LOC102280864 tripartite motif-containing protein 5-like;['XM_005896284.1'];NW_005393746.1
102281708;Bos mutus;6;LOC102281708 tripartite motif-containing protein 6-like;[];NW_005393746.1
102269557;Bos mutus;5;LOC102269557 tripartite motif-containing protein 5-like;[];NW_005393911.1
102267852;Bos mutus;5;LOC102267852 tripartite motif-containing protein 5-like;[];NW_005393350.1
106830225;Equus asinus;6;TRIM6 tripartite motif containing 6;['XM_014839654.2'];NC_052196.1
106830224;Equus asinus;22;LOC106830224 E3 ubiquitin-protein ligase TRIM22-like;['XM_014839651.2', 'XM_044753279.1', 'XM_044753278.1'];NC_052196.1
106830222;Equus asinus;22;LOC106830222 E3 ubiquitin-protein ligase TRIM22-like;['XM_014839649.2', 'XM_044753381.1'];NC_052196.1
106830227;Equus asinus;22;LOC106830227 E3 ubiquitin-protein ligase TRIM22-like;['XM_014839657.2'];NC_052196.1
106830223;Equus asinus;22;LOC106830223 E3 ubiquitin-protein ligase TRIM22-like;['XM_014839650.2'];NC_052196.1
123279003;Equus asinus;22;LOC123279003 E3 ubiquitin-protein ligase TRIM22-like;['XM_044753285.1'];NC_052196.1
106830220;Equus asinus;5;LOC106830220 tripartite motif-containing protein 5-like;['XM_044753380.1', 'XM_014839644.2', 'XM_044753379.1', 'XM_014839642.2', 'XM_014839643.2', 'XM_044753378.1', 'XM_044753377.1', 'XM_044753376.1', 'XM_044753374.1', 'XM_014839634.2', 'XM_044753373.1'];NC_052196.1
123279002;Equus asinus;22;LOC123279002 E3 ubiquitin-protein ligase TRIM22-like;[];NC_052196.1
123278958;Equus asinus;22;LOC123278958 E3 ubiquitin-protein ligase TRIM22-like;[];NC_052196.1
106830231;Equus asinus;22;LOC106830231 E3 ubiquitin-protein ligase TRIM22-like;[];NC_052196.1
106830184;Equus asinus;22;LOC106830184 E3 ubiquitin-protein ligase TRIM22-like;[];NC_052196.1
106830229;Equus asinus;5;LOC106830229 tripartite motif-containing protein 5-like;['XM_044753284.1', 'XM_044753283.1', 'XR_006516777.1', 'XR_006516776.1', 'XR_006516775.1', 'XM_044753282.1', 'XM_044753281.1', 'XR_006516774.1'];NC_052196.1
106830226;Equus asinus;34;LOC106830226 tripartite motif-containing protein 34-like;['XM_044753280.1', 'XM_014839656.2', 'XM_014839655.2'];NC_052196.1
106830178;Equus asinus;34;LOC106830178 tripartite motif-containing protein 34-like;['XM_044752188.1'];NC_052196.1
106830232;Equus asinus;5;LOC106830232 tripartite motif-containing protein 5-like;[];NC_052196.1
118574868;Onychomys torridus;34;LOC118574868 tripartite motif-containing protein 34A-like;['XR_004943779.1', 'XM_036175725.1', 'XM_036175724.1', 'XM_036175723.1'];NC_050443.1
118576832;Onychomys torridus;34;LOC118576832 tripartite motif-containing protein 34A-like;[];NC_050443.1
102735662;Leptonychotes weddellii;22;LOC102735662 E3 ubiquitin-protein ligase TRIM22;['XM_031027486.1'];NW_006383425.1
102735159;Leptonychotes weddellii;6;TRIM6 tripartite motif containing 6;['XM_031027498.1', 'XM_006732717.2'];NW_006383425.1
102750029;Leptonychotes weddellii;34;LOC102750029 tripartite motif-containing protein 34;['XM_031027499.1'];NW_006383425.1
100716342;Cavia porcellus;6;Trim6 tripartite motif containing 6;['XM_023563098.1'];NT_176348.1
100715212;Cavia porcellus;34;LOC100715212 tripartite motif-containing protein 34;['XM_003465340.4'];NT_176348.1
